,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Cape Town,ZA,-33.93,18.42,73.0,49,0,8.05,clear sky
83,Laurens,US,32.45,-82.92,62.01,20,1,3.44,clear sky
84,Chama,ZM,-11.21,33.15,68.77,95,51,3.74,moderate rain
85,Kollam,IN,8.88,76.6,84.2,70,20,5.75,haze
86,Qasigiannguit,GL,68.82,-51.19,6.8,66,75,10.36,broken clouds
87,Matara,LK,5.95,80.54,78.71,86,7,9.8,clear sky
88,Bathsheba,BB,13.22,-59.52,86.0,51,20,23.02,few clouds
89,Camacha,PT,33.08,-16.33,64.4,59,20,11.5,few clouds
90,Warri,NG,5.52,5.75,86.45,60,62,11.59,broken clouds
91,Omboué,GA,-1.57,9.26,79.74,81,99,4.09,overcast clouds
92,Molteno,ZA,-31.4,26.36,58.03,38,1,4.61,clear sky
93,Cajati,BR,-24.74,-48.12,78.51,68,69,4.36,broken clouds
94,Verkhnyaya Inta,RU,65.98,60.31,23.77,94,100,4.23,overcast clouds
95,Arlit,NE,18.74,7.39,90.32,5,2,9.73,clear sky
96,Itarema,BR,-2.92,-39.92,85.8,68,30,15.64,scattered clouds
97,Najrān,SA,17.49,44.13,84.2,10,0,5.75,clear sky
98,Awjilah,LY,29.11,21.29,75.56,16,0,4.99,clear sky
99,Ponta do Sol,CV,17.2,-25.09,75.2,69,75,19.57,broken clouds
100,Pangnirtung,CA,66.15,-65.71,-4.0,50,1,2.3,clear sky
101,Garwolin,PL,51.9,21.61,43.0,97,84,12.08,broken clouds
102,Urengoy,RU,65.97,78.37,26.91,97,99,8.93,light snow
103,Odlābāri,IN,26.83,88.62,69.8,68,20,1.14,haze
104,Torbay,CA,47.67,-52.73,46.0,100,90,16.11,light intensity drizzle
105,Skellefteå,SE,64.75,20.95,42.01,75,40,9.22,scattered clouds
106,Bela Cruz,BR,-3.05,-40.17,87.03,66,43,10.27,light rain
107,Skibbereen,IE,51.55,-9.27,50.0,71,20,4.61,few clouds
108,Kaélé,CM,10.11,14.45,93.2,10,0,5.75,clear sky
109,Ubari,LY,26.59,12.78,80.8,9,0,10.92,clear sky
110,Ilulissat,GL,69.22,-51.1,6.8,66,75,10.36,broken clouds
111,Mahajanga,MG,-15.72,46.32,80.6,83,20,3.44,few clouds
112,Bilma,NE,18.69,12.92,84.04,8,0,6.98,clear sky
113,Buchanan,LR,5.88,-10.05,89.6,66,20,5.75,haze
114,Natal,BR,-5.79,-35.21,84.2,74,75,14.97,light rain
115,Ribeira Brava,CV,16.62,-24.3,68.5,82,81,13.38,broken clouds
116,Chebenki,RU,51.93,55.71,33.8,100,90,4.47,light snow
117,Rurrenabaque,BO,-14.44,-67.53,84.2,74,75,6.91,broken clouds
118,Karibib,NA,-21.93,15.83,82.29,28,7,8.86,clear sky
119,Biltine,TD,14.53,20.92,91.78,10,1,9.6,clear sky
