City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Zemio,CF,84.45,overcast clouds,5.03,25.14,OCHA Office
545,Micoud,LC,84.2,broken clouds,13.82,-60.9,Zamacà
546,Hobyo,SO,83.21,clear sky,5.35,48.53,Halane Hotel and Restaurent
547,Bunia,CD,70.02,light rain,1.57,30.25,Gold Star International Hotel
549,Soyo,AO,78.1,moderate rain,-6.13,12.37,Hotel Mpampa
550,Kalmunai,LK,80.2,scattered clouds,7.42,81.82,VS Villa
554,Shakawe,BW,75.24,clear sky,-18.37,21.85,Ditlhapi Guest House
557,Paita,PE,82.4,clear sky,-5.09,-81.11,Hotel Náutico de Paita
558,Jalu,LY,73.78,clear sky,29.03,21.55,صاحبة الفخامة
564,Lucea,JM,78.01,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
567,Teguise,ES,71.6,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
568,Mossamedes,AO,77.95,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
573,Edéia,BR,88.93,broken clouds,-17.34,-49.93,Hotel Imperial Edeia
574,Ambilobe,MG,75.97,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
575,Ratnagiri,IN,78.75,scattered clouds,16.98,73.3,Hotel Landmark
577,Guarujá,BR,82.0,broken clouds,-23.99,-46.26,Charme Hotel Guarujá
578,Kāndri,IN,87.8,haze,21.42,79.27,OYO 69410 Sip & Bite Restaurant N Lodging
584,Boca do Acre,BR,84.16,overcast clouds,-8.75,-67.4,Hotel Linhares
586,Chikhli,IN,86.4,few clouds,20.35,76.25,Madarsa Block
589,Road Town,VG,84.2,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
593,Venice,US,72.0,haze,27.1,-82.45,Ramada by Wyndham Venice Hotel Venezia
594,Moa,CU,74.7,overcast clouds,20.66,-74.94,Viviannis Olivero Acosta
596,Ouro Preto do Oeste,BR,83.55,broken clouds,-10.75,-62.22,Graúna Resort Hotel
599,Banda Aceh,ID,80.26,broken clouds,5.56,95.32,Sulthan Hotel International
600,Porto Novo,CV,75.2,broken clouds,17.02,-25.06,Residencial Nova Cidade
601,Sirte,LY,78.98,few clouds,31.21,16.59,الهادي ابوشعاله سرت
604,Vila Velha,BR,82.99,few clouds,-20.33,-40.29,Quality Suites Vila Velha
606,Iracoubo,GF,79.54,moderate rain,5.48,-53.2,Le Gite D Iracoubo
611,Itacaré,BR,87.8,few clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
612,Bull Savanna,JM,81.55,few clouds,17.89,-77.59,Big Red's
614,Saint-Leu,RE,78.8,light rain,-21.15,55.28,La Caz Oceane
621,Morondava,MG,78.89,light rain,-20.28,44.28,La Case Bambou
622,La Puebla de Cazalla,ES,71.6,scattered clouds,37.22,-5.31,Hostal Restaurante Los Ángeles
626,Sumbe,AO,81.81,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
627,Bluefields,NI,86.0,scattered clouds,12.01,-83.76,Nicaraguan Typical House Downtown
628,Iralaya,HN,86.0,scattered clouds,15.0,-83.23,Iglesia morava renovada
632,Maceió,BR,86.0,broken clouds,-9.67,-35.74,Poutur Pousada
637,Saint-François,GP,84.2,scattered clouds,16.25,-61.27,La Cocoteraie - Guadeloupe (by Popinns)
639,Laguna,BR,74.86,few clouds,-28.48,-48.78,Ravena Cassino Hotel
641,Sidrolândia,BR,87.8,scattered clouds,-20.93,-54.96,hotel cisne azul
645,Barranca,PE,74.79,broken clouds,-10.75,-77.77,El Olivar Hospedaje
646,Dumka,IN,83.03,clear sky,24.27,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
647,Mahanoro,MG,76.01,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
649,Antalaha,MG,76.24,light rain,-14.9,50.28,Hotel Vitasoa
651,Kāmāreddi,IN,86.36,scattered clouds,18.32,78.35,Osman Residency
658,Yumbe,UG,70.57,broken clouds,3.47,31.25,PRAFORD HOTEL
663,Dhidhdhoo,MV,83.93,scattered clouds,6.88,73.1,Dhidhoo beach
665,Lamu,KE,84.2,broken clouds,-2.27,40.9,Lamu House
668,Charagua,BO,71.6,overcast clouds,-19.8,-63.22,Residencial Luismar
669,Diffa,NE,87.51,clear sky,13.32,12.61,ProDAF/Diffa
670,Sinnamary,GF,80.87,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
677,Huarmey,PE,75.25,scattered clouds,-10.07,-78.15,Hotel Miramar
680,Key Largo,US,72.0,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
681,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
682,Cockburn Town,BS,70.52,overcast clouds,24.03,-74.52,Club Med Columbus - Bahamas
686,Nārsingi,IN,89.01,scattered clouds,18.03,78.43,Sri sai ram hotel
689,Kharan,PK,84.78,clear sky,28.58,65.42,Ghani Hasrat House
696,Les Cayes,HT,84.15,few clouds,18.2,-73.75,Villa Orphee
